Q41_1,Q41_2,Q41_3,Q41_4,Q41_5,Q41_6,Q41_7,Q41_8,Q41_9,Q41_10,Q41_11,Q41_12,Q41_13,Q41_14,Q41_15,Q41_16,Q41_17,Q39_1,Q39_2,Q39_3,Q39_4,Q39_5,Q39_6,Q39_7
Occasionally,Occasionally,Occasionally,Occasionally,Rarely,Rarely,Rarely,Occasionally,Occasionally,Often,Occasionally,Rarely,Never,Occasionally,Occasionally,Rarely,Rarely,A Little,A Little,A Little,None,A Little,A Little,A Little
Occasionally,Often,Occasionally,Very Often,Occasionally,Occasionally,Never,Never,Never,Very Often,Very Often,Never,Rarely,Never,Rarely,Rarely,Occasionally,A Little,Some,Some,None,Some,Some,A Little
Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Occasionally,Rarely,Never,Never,None,None,None,None,None,None,None
Occasionally,Rarely,Rarely,Rarely,Occasionally,Rarely,Rarely,Rarely,Occasionally,Occasionally,Rarely,Rarely,Never,Occasionally,Rarely,Occasionally,Often,A Little,None,None,None,None,None,None
Rarely,Rarely,Rarely,Rarely,Occasionally,Rarely,Rarely,Rarely,Rarely,Occasionally,Rarely,Rarely,Rarely,Occasionally,Occasionally,Rarely,Occasionally,None,None,A Little,None,A Little,A Little,None
Occasionally,Often,Often,Often,Occasionally,Often,Rarely,Often,Often,Very Often,Occasionally,Rarely,Occasionally,Rarely,Rarely,Often,Often,Some,A Little,A Little,A Little,Some,Some,A Lot
Occasionally,Never,Rarely,Never,Never,Rarely,Never,Never,Never,Occasionally,Occasionally,Never,Never,Rarely,Never,Never,Rarely,None,None,A Little,None,None,A Little,None
Never,Rarely,Occasionally,Never,Occasionally,Rarely,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,None,None,None,None,None,None,None
Rarely,Rarely,Never,Occasionally,Occasionally,Rarely,Rarely,Never,Occasionally,Rarely,Occasionally,Never,Never,Never,Rarely,Never,Never,None,None,None,None,None,None,None
Never,Never,Never,Never,Never,Never,Never,Never,Never,Often,Never,Occasionally,Never,Rarely,Rarely,Rarely,Never,None,None,None,None,None,None,None
